:Data_list: 20160315_Gp_xr_1m.txt
:Created: 2016 Mar 16 0010 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#         1-minute GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long
#-------------------------------------------------------
2016 03 15  0000   57462      0     1.00e-09    1.90e-07
2016 03 15  0001   57462     60     1.00e-09    1.93e-07
2016 03 15  0002   57462    120     1.00e-09    1.94e-07
2016 03 15  0003   57462    180     1.00e-09    1.93e-07
2016 03 15  0004   57462    240     1.00e-09    1.97e-07
2016 03 15  0005   57462    300     1.00e-09    1.96e-07
2016 03 15  0006   57462    360     1.00e-09    1.92e-07
2016 03 15  0007   57462    420     1.00e-09    1.88e-07
2016 03 15  0008   57462    480     1.00e-09    1.89e-07
2016 03 15  0009   57462    540     1.00e-09    1.87e-07
2016 03 15  0010   57462    600     1.00e-09    1.86e-07
2016 03 15  0011   57462    660     1.00e-09    1.85e-07
2016 03 15  0012   57462    720     1.00e-09    1.84e-07
2016 03 15  0013   57462    780     1.00e-09    1.83e-07
2016 03 15  0014   57462    840     1.00e-09    1.81e-07
2016 03 15  0015   57462    900     1.00e-09    1.85e-07
2016 03 15  0016   57462    960     1.00e-09    1.82e-07
2016 03 15  0017   57462   1020     1.00e-09    1.82e-07
2016 03 15  0018   57462   1080     1.00e-09    1.83e-07
2016 03 15  0019   57462   1140     1.00e-09    1.85e-07
2016 03 15  0020   57462   1200     1.00e-09    1.90e-07
2016 03 15  0021   57462   1260     1.00e-09    1.89e-07
2016 03 15  0022   57462   1320     1.00e-09    1.88e-07
2016 03 15  0023   57462   1380     1.00e-09    1.88e-07
2016 03 15  0024   57462   1440     1.00e-09    1.88e-07
2016 03 15  0025   57462   1500     1.00e-09    1.87e-07
2016 03 15  0026   57462   1560     1.00e-09    1.85e-07
2016 03 15  0027   57462   1620     1.00e-09    1.89e-07
2016 03 15  0028   57462   1680     1.00e-09    1.92e-07
2016 03 15  0029   57462   1740     1.00e-09    1.89e-07
2016 03 15  0030   57462   1800     1.00e-09    1.88e-07
2016 03 15  0031   57462   1860     1.00e-09    1.90e-07
2016 03 15  0032   57462   1920     1.00e-09    1.89e-07
2016 03 15  0033   57462   1980     1.00e-09    1.88e-07
2016 03 15  0034   57462   2040     1.00e-09    1.86e-07
2016 03 15  0035   57462   2100     1.00e-09    1.86e-07
2016 03 15  0036   57462   2160     1.00e-09    1.85e-07
2016 03 15  0037   57462   2220     1.00e-09    1.84e-07
2016 03 15  0038   57462   2280     1.00e-09    1.82e-07
2016 03 15  0039   57462   2340     1.00e-09    1.87e-07
2016 03 15  0040   57462   2400     1.00e-09    1.85e-07
2016 03 15  0041   57462   2460     1.00e-09    1.81e-07
2016 03 15  0042   57462   2520     1.00e-09    1.82e-07
2016 03 15  0043   57462   2580     1.00e-09    1.84e-07
2016 03 15  0044   57462   2640     1.00e-09    1.87e-07
2016 03 15  0045   57462   2700     1.00e-09    1.86e-07
2016 03 15  0046   57462   2760     1.00e-09    1.89e-07
2016 03 15  0047   57462   2820     1.00e-09    1.91e-07
2016 03 15  0048   57462   2880     1.00e-09    1.93e-07
2016 03 15  0049   57462   2940     1.00e-09    1.92e-07
2016 03 15  0050   57462   3000     1.00e-09    1.97e-07
2016 03 15  0051   57462   3060     1.00e-09    1.99e-07
2016 03 15  0052   57462   3120     1.00e-09    1.95e-07
2016 03 15  0053   57462   3180     1.00e-09    1.94e-07
2016 03 15  0054   57462   3240     1.00e-09    1.95e-07
2016 03 15  0055   57462   3300     1.00e-09    1.94e-07
2016 03 15  0056   57462   3360     1.00e-09    1.90e-07
2016 03 15  0057   57462   3420     1.00e-09    1.91e-07
2016 03 15  0058   57462   3480     1.00e-09    1.89e-07
2016 03 15  0059   57462   3540     1.00e-09    1.84e-07
2016 03 15  0100   57462   3600     1.00e-09    1.78e-07
2016 03 15  0101   57462   3660     1.00e-09    1.77e-07
2016 03 15  0102   57462   3720     1.00e-09    1.76e-07
2016 03 15  0103   57462   3780     1.00e-09    1.76e-07
2016 03 15  0104   57462   3840     1.00e-09    1.78e-07
2016 03 15  0105   57462   3900     1.00e-09    1.75e-07
2016 03 15  0106   57462   3960     1.00e-09    1.75e-07
2016 03 15  0107   57462   4020     1.00e-09    1.75e-07
2016 03 15  0108   57462   4080     1.00e-09    1.74e-07
2016 03 15  0109   57462   4140     1.00e-09    1.77e-07
2016 03 15  0110   57462   4200     1.00e-09    1.77e-07
2016 03 15  0111   57462   4260     1.00e-09    1.76e-07
2016 03 15  0112   57462   4320     1.00e-09    1.77e-07
2016 03 15  0113   57462   4380     1.00e-09    1.76e-07
2016 03 15  0114   57462   4440     1.00e-09    1.76e-07
2016 03 15  0115   57462   4500     1.00e-09    1.74e-07
2016 03 15  0116   57462   4560     1.00e-09    1.76e-07
2016 03 15  0117   57462   4620     1.00e-09    1.79e-07
2016 03 15  0118   57462   4680     1.00e-09    1.81e-07
2016 03 15  0119   57462   4740     1.00e-09    1.82e-07
2016 03 15  0120   57462   4800     1.00e-09    1.81e-07
2016 03 15  0121   57462   4860     1.00e-09    1.87e-07
2016 03 15  0122   57462   4920     1.00e-09    1.88e-07
2016 03 15  0123   57462   4980     1.00e-09    1.80e-07
2016 03 15  0124   57462   5040     1.00e-09    1.77e-07
2016 03 15  0125   57462   5100     1.00e-09    1.80e-07
2016 03 15  0126   57462   5160     1.00e-09    1.80e-07
2016 03 15  0127   57462   5220     1.00e-09    1.79e-07
2016 03 15  0128   57462   5280     1.00e-09    1.79e-07
2016 03 15  0129   57462   5340     1.00e-09    1.81e-07
2016 03 15  0130   57462   5400     1.00e-09    1.81e-07
2016 03 15  0131   57462   5460     1.00e-09    1.82e-07
2016 03 15  0132   57462   5520     1.00e-09    1.87e-07
2016 03 15  0133   57462   5580     1.00e-09    1.86e-07
2016 03 15  0134   57462   5640     1.00e-09    1.81e-07
2016 03 15  0135   57462   5700     1.00e-09    1.81e-07
2016 03 15  0136   57462   5760     1.00e-09    1.81e-07
2016 03 15  0137   57462   5820     1.00e-09    1.81e-07
2016 03 15  0138   57462   5880     1.00e-09    1.78e-07
2016 03 15  0139   57462   5940     1.00e-09    1.78e-07
2016 03 15  0140   57462   6000     1.00e-09    1.77e-07
2016 03 15  0141   57462   6060     1.00e-09    1.74e-07
2016 03 15  0142   57462   6120     1.00e-09    1.76e-07
2016 03 15  0143   57462   6180     1.00e-09    1.74e-07
2016 03 15  0144   57462   6240     1.00e-09    1.74e-07
2016 03 15  0145   57462   6300     1.00e-09    1.76e-07
2016 03 15  0146   57462   6360     1.00e-09    1.74e-07
2016 03 15  0147   57462   6420     1.00e-09    1.75e-07
2016 03 15  0148   57462   6480     1.00e-09    1.69e-07
2016 03 15  0149   57462   6540     1.00e-09    1.68e-07
2016 03 15  0150   57462   6600     1.00e-09    1.73e-07
2016 03 15  0151   57462   6660     1.00e-09    1.74e-07
2016 03 15  0152   57462   6720     1.00e-09    1.72e-07
2016 03 15  0153   57462   6780     1.00e-09    1.71e-07
2016 03 15  0154   57462   6840     1.00e-09    1.72e-07
2016 03 15  0155   57462   6900     1.00e-09    1.74e-07
2016 03 15  0156   57462   6960     1.00e-09    1.78e-07
2016 03 15  0157   57462   7020     1.00e-09    1.79e-07
2016 03 15  0158   57462   7080     1.00e-09    1.76e-07
2016 03 15  0159   57462   7140     1.00e-09    1.72e-07
2016 03 15  0200   57462   7200     1.00e-09    1.72e-07
2016 03 15  0201   57462   7260     1.00e-09    1.72e-07
2016 03 15  0202   57462   7320     1.00e-09    1.71e-07
2016 03 15  0203   57462   7380     1.00e-09    1.72e-07
2016 03 15  0204   57462   7440     1.00e-09    1.72e-07
2016 03 15  0205   57462   7500     1.00e-09    1.74e-07
2016 03 15  0206   57462   7560     1.00e-09    1.80e-07
2016 03 15  0207   57462   7620     1.00e-09    1.76e-07
2016 03 15  0208   57462   7680     1.00e-09    1.77e-07
2016 03 15  0209   57462   7740     1.00e-09    1.76e-07
2016 03 15  0210   57462   7800     1.00e-09    1.74e-07
2016 03 15  0211   57462   7860     1.00e-09    1.77e-07
2016 03 15  0212   57462   7920     1.00e-09    1.78e-07
2016 03 15  0213   57462   7980     1.00e-09    1.76e-07
2016 03 15  0214   57462   8040     1.00e-09    1.78e-07
2016 03 15  0215   57462   8100     1.00e-09    1.78e-07
2016 03 15  0216   57462   8160     1.00e-09    1.78e-07
2016 03 15  0217   57462   8220     1.00e-09    1.78e-07
2016 03 15  0218   57462   8280     1.00e-09    1.77e-07
2016 03 15  0219   57462   8340     1.00e-09    1.78e-07
2016 03 15  0220   57462   8400     1.00e-09    1.80e-07
2016 03 15  0221   57462   8460     1.00e-09    1.79e-07
2016 03 15  0222   57462   8520     1.00e-09    1.82e-07
2016 03 15  0223   57462   8580     1.00e-09    1.86e-07
2016 03 15  0224   57462   8640     1.00e-09    1.83e-07
2016 03 15  0225   57462   8700     1.00e-09    1.82e-07
2016 03 15  0226   57462   8760     1.00e-09    1.85e-07
2016 03 15  0227   57462   8820     1.00e-09    1.87e-07
2016 03 15  0228   57462   8880     1.00e-09    1.88e-07
2016 03 15  0229   57462   8940     1.00e-09    1.84e-07
2016 03 15  0230   57462   9000     1.00e-09    1.86e-07
2016 03 15  0231   57462   9060     1.00e-09    1.85e-07
2016 03 15  0232   57462   9120     1.00e-09    1.82e-07
2016 03 15  0233   57462   9180     1.00e-09    1.83e-07
2016 03 15  0234   57462   9240     1.00e-09    1.87e-07
2016 03 15  0235   57462   9300     1.00e-09    1.88e-07
2016 03 15  0236   57462   9360     1.00e-09    1.93e-07
2016 03 15  0237   57462   9420     1.00e-09    1.90e-07
2016 03 15  0238   57462   9480     1.00e-09    1.91e-07
2016 03 15  0239   57462   9540     1.00e-09    1.88e-07
2016 03 15  0240   57462   9600     1.00e-09    1.85e-07
2016 03 15  0241   57462   9660     1.00e-09    1.86e-07
2016 03 15  0242   57462   9720     1.00e-09    1.90e-07
2016 03 15  0243   57462   9780     1.00e-09    1.88e-07
2016 03 15  0244   57462   9840     1.00e-09    1.86e-07
2016 03 15  0245   57462   9900     1.00e-09    1.88e-07
2016 03 15  0246   57462   9960     1.00e-09    1.86e-07
2016 03 15  0247   57462  10020     1.00e-09    1.88e-07
2016 03 15  0248   57462  10080     1.00e-09    1.86e-07
2016 03 15  0249   57462  10140     1.00e-09    1.91e-07
2016 03 15  0250   57462  10200     1.00e-09    1.91e-07
2016 03 15  0251   57462  10260     1.00e-09    1.86e-07
2016 03 15  0252   57462  10320     1.00e-09    1.80e-07
2016 03 15  0253   57462  10380     1.00e-09    1.80e-07
2016 03 15  0254   57462  10440     1.00e-09    1.80e-07
2016 03 15  0255   57462  10500     1.00e-09    1.80e-07
2016 03 15  0256   57462  10560     1.00e-09    1.81e-07
